parcode,trial,rt,choice,item_left,item_right
22,20,3696,1,6,8
22,21,1575,-1,6,3
22,22,1558,1,3,8
22,23,3750,1,7,7
22,24,1695,1,4,8
22,25,1476,-1,8,4
22,26,1925,1,4,4
22,27,1212,1,4,8
22,28,1289,1,7,9
22,29,1231,-1,7,4
22,30,2038,-1,7,7
22,31,1038,-1,8,3
22,32,3634,1,7,5
22,33,1674,-1,6,6
22,34,2505,1,1,2
22,35,1341,1,3,3
22,36,1185,1,4,7
22,37,1783,1,0,3
22,38,1095,1,3,6
22,39,1074,1,4,8
22,40,1261,-1,7,5
22,41,3131,1,3,5
22,42,1825,-1,8,4
22,43,819,1,7,10
22,44,1446,1,1,6
22,45,1297,-1,7,4
22,46,1195,1,2,7
22,47,2524,1,3,6
22,48,1740,-1,6,4
22,49,3778,1,1,1
22,50,1111,-1,10,6
22,51,1075,1,4,8
22,52,2015,-1,4,3
22,53,1096,1,3,7
22,54,1448,-1,7,4
22,55,3189,1,4,5
22,56,2002,-1,7,5
22,57,1998,1,4,3
22,58,653,1,6,10
22,59,2799,-1,5,3
22,60,2864,1,7,5
22,61,1863,-1,7,3
22,62,1187,1,7,8
22,63,1553,1,0,3
22,64,1501,-1,3,0
22,65,2385,-1,7,3
22,66,2169,1,6,6
22,67,3734,1,4,4
22,68,4746,-1,4,6
22,69,1232,1,6,8
22,70,2480,1,0,5
22,71,1472,-1,8,6
22,72,2391,1,5,4
22,73,834,1,4,7
22,74,3618,-1,7,6
22,75,2661,1,4,3
22,76,1066,1,6,5
22,77,3473,1,4,0
22,78,957,1,7,8
22,79,3199,1,6,6
22,80,2604,-1,8,8
22,81,2905,1,8,7
22,82,2354,-1,6,1
22,83,1606,1,7,8
22,84,1350,1,4,7
22,85,2045,1,3,8
22,86,4107,-1,7,8
22,87,1067,1,6,8
22,88,1583,-1,0,0
22,89,1059,1,3,4
22,90,1960,1,4,6
22,91,3333,-1,7,7
22,92,1374,1,2,7
22,93,1623,-1,4,3
22,94,3452,-1,3,4
22,95,2465,1,6,3
22,96,1163,-1,8,3
22,97,2099,1,5,7
22,98,887,1,6,5
22,99,1276,-1,7,4
22,100,1169,-1,6,5
